Student ID,Distance Z-score,Earned Score,Maximum Score,Overall Percent
s111f453,0.27935667165912154,71,88,0.8068181818181818
s185bfebd,0.08965218819708297,63,105,0.6
s189f9c70,0.018495759867378447,36,54,0.6666666666666666
s18f746e0,-0.4443842823940899,79,95,0.8315789473684211
s1a555e8d,-0.21777567785993432,68,113,0.6017699115044248
s1ca6c9e5,0.6349243988602166,136,145,0.9379310344827586
s1e11464e,1.021925206635377,76,145,0.5241379310344828
s1f00f8e9,-0.26880700353974135,91,124,0.7338709677419355
s1f23c370,-0.429380319339278,112,145,0.7724137931034483
s211a52c5,0.7124946375790863,4,4,1.0
s23f81012,-0.12913264575317387,105,105,1.0
s27774cef,-0.4006336651588991,34,50,0.68
s29d1098c,0.10878263223627173,94,100,0.94
s2cb5a351,0.9457659271094478,28,67,0.417910447761194
s2ccaa61c,-0.37849616811314785,95,105,0.9047619047619048
s2f66a747,0.5249381848431193,18,43,0.4186046511627907
s2f86ca57,0.38091819594410087,182,250,0.728
s301c5b4,-0.026357080408877853,10,14,0.7142857142857143
s311ffd55,0.7124946375790863,4,4,1.0
s351f3189,0.2177877174000798,5,9,0.5555555555555556
s3551f054,-0.31381884943737764,122,140,0.8714285714285714
s372a0966,-0.28250488169997007,42,52,0.8076923076923077
s3752a3d2,-0.29652787742054804,130,145,0.896551724137931
s3871c520,0.14928818937535274,48,101,0.4752475247524752
s3b5db8f5,-0.11158469422300797,123,127,0.968503937007874
s3d9f443f,-0.026357080408877853,14,14,1.0
s3f27df0f,-0.24172947105652062,111,135,0.8222222222222222
s407c0b0f,-0.06026065531922093,85,100,0.85
s414ad069,-0.026357080408877853,10,14,0.7142857142857143
s418802b8,-0.12351485130611828,75,105,0.7142857142857143
s45820bee,-0.40641389702850994,39,43,0.9069767441860465
s45d6d438,0.20013737836128376,79,90,0.8777777777777778
s4818f91f,0.668182907575866,41,115,0.3565217391304348
s483bc3e,-0.3360317244482039,66,93,0.7096774193548387
s4fcaf3fe,-0.026357080408877853,14,14,1.0
s55ec4057,0.3276535402926495,66,92,0.717391304347826
s564281ce,-0.018609089707752626,68,94,0.723404255319149
s568e6c7b,-0.06423851644784215,82,96,0.8541666666666666
s57c38b49,-0.23333808327496752,104,105,0.9904761904761905
s5abb4733,0.07912377011734376,71,93,0.7634408602150538
s5bd13671,-0.22438900633936124,83,95,0.8736842105263158
s5fd2eeb1,-0.12709669192682285,58,75,0.7733333333333333
s663f70e4,0.045883729807655066,96,100,0.96
s6aee66a4,-0.026357080408877853,14,14,1.0
s6c6b85b5,-0.2914216729754205,78,140,0.5571428571428572
s6c8bfc2f,0.9214361433603391,61,105,0.580952380952381
s6cf85d26,-0.026357080408877853,14,14,1.0
s6d684e40,-0.5829571086854277,91,105,0.8666666666666667
s6ef2661d,-0.026357080408877853,10,14,0.7142857142857143
s70356d7a,-0.026357080408877853,10,14,0.7142857142857143
s70c07b9e,-0.10439724782163244,59,93,0.6344086021505376
s72c0bead,0.6155912030356722,21,37,0.5675675675675675
s738c07e8,-0.026357080408877853,6,14,0.42857142857142855
s73afdd31,0.0052103097737593584,37,65,0.5692307692307692
s73d002a2,0.11369871036927205,79,95,0.8315789473684211
s74625dd,0.14388262985066647,80,105,0.7619047619047619
s74c23a2a,0.24714916703975665,85,130,0.6538461538461539
s764d3697,-0.1804493612348602,78,100,0.78
s7685a175,0.4659113256431488,51,91,0.5604395604395604
s7957bc24,-0.026357080408877853,14,14,1.0
s7a6ddb93,-0.026357080408877853,7,14,0.5
s7b48c344,-0.026357080408877853,14,14,1.0
s7c1c9d2e,0.2025747485947621,128,145,0.8827586206896552
