Year,Semester,Quiz/Exam,Student ID,Coding Problem,Earned Score,Maximum Score,Distance,Distance Z-score
2013,spring,quiz4,s18f746e0,BodyType,5,5,10.714285714285714,-0.7954752577289984
2013,spring,quiz4,s23f81012,BodyType,5,5,18.542857142857144,1.8625762132191184
2013,spring,quiz4,s27774cef,BodyType,5,5,13.914285714285716,0.2910275333154879
2013,spring,quiz4,s407c0b0f,BodyType,5,5,11.82857142857143,-0.4171394644188646
2013,spring,quiz4,s483bc3e,BodyType,5,5,12.6,-0.1552146844349265
2013,spring,quiz4,s564281ce,BodyType,5,5,20.857142857142858,2.6483505531709333
2013,spring,quiz4,s568e6c7b,BodyType,5,5,15.085714285714284,0.6887651621799856
2013,spring,quiz4,s57c38b49,BodyType,5,5,11.571428571428571,-0.504447724413511
2013,spring,quiz4,s5abb4733,BodyType,5,5,16.914285714285715,1.3096238999196923
2013,spring,quiz4,s5bd13671,BodyType,5,5,10.742857142857142,-0.7857743399518156
2013,spring,quiz4,s663f70e4,BodyType,5,5,13.371428571428572,0.1067100955490121
2013,spring,quiz4,s6d684e40,BodyType,5,5,14.028571428571428,0.3298312044242188
2013,spring,quiz4,s74625dd,BodyType,5,5,13.82857142857143,0.2619247799839387
2013,spring,quiz4,s7685a175,BodyType,5,5,10.571428571428571,-0.8439798466149128
2013,spring,quiz4,s7ccd28a3,BodyType,5,5,12.257142857142858,-0.271625697761121
2013,spring,quiz4,s7fe50145,BodyType,5,5,9.857142857142858,-1.086502791044485
2013,spring,quiz4,s81792444,BodyType,5,5,17.82857142857143,1.6200532687895457
2013,spring,quiz4,sa6af7077,BodyType,5,5,12.4,-0.2231211088752066
2013,spring,quiz4,sad8416a9,BodyType,5,5,15.457142857142856,0.8148770932833636
2013,spring,quiz4,sae45b238,BodyType,5,5,9.685714285714283,-1.1447082977075835
2013,spring,quiz4,sbb84155e,BodyType,5,5,15.628571428571428,0.8730825999464613
2013,spring,quiz4,sc07e0f8a,BodyType,5,5,12.8,-0.0873082599946458
2013,spring,quiz4,sc2ea6ca8,BodyType,5,5,14.085714285714284,0.3492330399785839
2013,spring,quiz4,sc6713607,BodyType,5,5,9.685714285714283,-1.1447082977075835
2013,spring,quiz4,sd51cb744,BodyType,5,5,14.657142857142857,0.5432513955222426
2013,spring,quiz4,sd9363351,BodyType,5,5,11.085714285714284,-0.669363326625621
2013,spring,quiz4,sdb4c4aed,BodyType,5,5,11.971428571428572,-0.3686348755329502
2013,spring,quiz4,sddb081b4,BodyType,5,5,11.057142857142855,-0.679064244402804
2013,spring,quiz4,sea449dee,BodyType,5,5,9.82857142857143,-1.096203708821668
2013,spring,quiz4,sed47133e,BodyType,5,5,12.685714285714283,-0.1261119311033785
2013,spring,quiz4,sef55ce71,BodyType,5,5,12.4,-0.2231211088752066
2013,spring,quiz4,sf0f03a1e,BodyType,5,5,12.142857142857142,-0.310429368869853
2013,spring,quiz4,sf3e641eb,BodyType,5,5,20.428571428571427,2.502836786513189
2013,spring,quiz4,sf6f33c5f,BodyType,5,5,9.914285714285716,-1.0671009554901187
2013,spring,quiz4,sfe2341ab,BodyType,5,5,9.914285714285716,-1.0671009554901187
2013,spring,quiz4,sfed34002,BodyType,5,5,9.714285714285714,-1.1350073799304
2013,fall,midterm1,s3551f054,BreakDownNumber,10,10,24.428571428571427,0.3461271053331335
2013,fall,midterm1,s3752a3d2,BreakDownNumber,10,10,23.285714285714285,0.0467739331531266
2013,fall,midterm1,s3b5db8f5,BreakDownNumber,10,10,21.428571428571427,-0.4396749716393849
2013,fall,midterm1,s7c1c9d2e,BreakDownNumber,10,10,20.571428571428573,-0.6641898507743894
2013,fall,midterm1,s8d81cf8b,BreakDownNumber,10,10,21.285714285714285,-0.4770941181618857
2013,fall,midterm1,s9bd61dd,BreakDownNumber,10,10,31.0,2.0674078453681743
2013,fall,midterm1,scad74c3a,BreakDownNumber,10,10,25.571428571428573,0.6454802775131413
2013,fall,midterm1,sce9b742f,BreakDownNumber,10,10,17.285714285714285,-1.5248302207919102
2013,fall,midterm1,s185bfebd,Cardio,10,10,14.545454545454543,0.366412327065922
2013,fall,midterm1,s1ca6c9e5,Cardio,10,10,16.939393939393938,1.360537085145791
2013,fall,midterm1,s1e11464e,Cardio,10,10,16.09090909090909,1.0081890696238125
2013,fall,midterm1,s1f00f8e9,Cardio,10,10,11.787878787878787,-0.7787187233805084
2013,fall,midterm1,s2f86ca57,Cardio,10,10,11.090909090909092,-1.0681474504164188
2013,fall,midterm1,s3551f054,Cardio,10,10,12.242424242424242,-0.5899608579223052
2013,fall,midterm1,s3752a3d2,Cardio,10,10,11.757575757575758,-0.7913025810777216
